MnRs_dep,MnRs_dep,MnRs_dep,MnRs_dep,MnRs_dep,clay_30cm,clay_30cm,clay_30cm,clay_30cm,clay_30cm,sand_30cm,sand_30cm,sand_30cm,sand_30cm,sand_30cm,om_30cm,om_30cm,om_30cm,om_30cm,om_30cm,cec_30cm,cec_30cm,cec_30cm,cec_30cm,cec_30cm,bd_30cm,bd_30cm,bd_30cm,bd_30cm,bd_30cm,ec_30cm,ec_30cm,ec_30cm,ec_30cm,ec_30cm,pH_30cm,pH_30cm,pH_30cm,pH_30cm,pH_30cm,ksat_30cm,ksat_30cm,ksat_30cm,ksat_30cm,ksat_30cm,awc_30cm,awc_30cm,awc_30cm,awc_30cm,awc_30cm
mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
199.7157598499062,200.0,3.166657784050898,157.0,200.0,18.800592537178556,18.2999992370605,4.71471191313472,6.30000019073486,35.7999992370605,16.972278609393065,11.0,14.248988340318524,0.4000000059604639,73.1999969482422,2.309062616974636,2.09999990463257,0.8836115404907501,0.25,9.0,14.552828571111979,14.1999998092651,5.220030281369604,4.40000009536743,32.5999984741211,1.3750303136821136,1.385999989509584,0.0693010552272603,1.0,1.5299999713897705,0.5358648120652508,0.200000002980232,0.4459997861818625,0.0,1.0,6.329308697093771,6.400000095367429,0.5924766675181091,4.09999990463257,8.19999980926514,8.925413551210141,9.0,0.5741886937959396,5.357142857142858,13.470588235294118,4.334699097077247,4.14000007510185,1.2534931236364055,1.050000004470348,6.90000012516975
84.30045264727137,78.5,20.153971630282086,58.0,145.0,18.18647223077801,18.2999992370605,4.9630112604333085,5.7749999999999995,34.0,17.999599161929883,13.15507258757846,14.321223059917846,1.373913080795955,67.5,2.279078588831034,2.0,1.2233356748284547,0.75,8.535555548138092,11.603147099262607,10.6999998092651,4.453094765047743,1.380000019073488,27.5,1.3921804953029364,1.39999997615814,0.05707833236021757,1.1535714566707629,1.5,0.31513025888668844,0.200000002980232,0.3716224256835568,0.0,1.0,6.07766367431776,6.067116471705436,0.5092385683280424,4.792857084955489,8.0,9.059761378926588,9.0,1.6898491384276413,3.0,16.288888888888888,4.220281506615864,4.19999986886978,1.223667044420799,1.0411764768993144,6.90000012516975
200.0,200.0,0.0,200.0,200.0,3.902495147006089,3.2999999523162797,2.572733610793768,0.600000023841858,10.0,85.86694042956852,84.0,6.946731829488978,75.8000030517578,98.0,0.9657699757878311,0.75,0.8011834174687507,0.100000001490116,3.5999999046325697,5.706978579664321,6.30000019073486,3.005502184345316,1.29999995231628,11.5,1.5167212437467963,1.52999997138977,0.0973247702232565,1.29999995231628,1.64999997615814,0.6063157895677969,1.0,0.4859319902402319,0.0,1.0,6.813021456846716,6.599999904632569,0.7385863165398701,5.0,7.900000095367431,93.06491228070175,92.0,4.365377162625384,91.5,109.77777777777776,1.5606315705075648,1.64999999105931,0.9107780224849422,0.2100000008940696,2.969999983906758
199.1910229645094,200.0,5.2105153303518446,152.0,200.0,34.22175800304574,32.4000015258789,7.184834594348616,20.3999996185303,65.5,12.882632064471874,7.199999809265141,11.103877968586756,0.200000002980232,42.2999992370605,3.1103645500914077,3.0,1.386004400699809,0.25,6.19000005722046,26.24754831043843,25.600000381469705,5.437440897921557,7.80000019073486,44.299999237060504,1.3491698662516984,1.35000002384186,0.0875420594402582,1.03999996185303,1.5299999713897705,0.6614011047569379,1.0,0.4539792973686986,0.0,1.0,6.3149115379086895,6.19999980926514,0.5611410146548956,4.40000009536743,7.722222301695081,2.53128070782808,3.0,1.1817373889909084,0.0900000035762787,6.06,3.5457259067014797,3.639999866485584,1.2796533469381473,0.2100000008940696,6.59999996423721
200.0,200.0,0.0,200.0,200.0,3.204634555308365,2.5,1.9581192730082417,1.0,7.426470532136808,90.09340477340362,92.0,6.3571435736936746,66.69117647234131,94.3000030517578,0.46156862476399024,0.519999980926514,0.22747492835253472,0.170000001788139,0.75,3.985917992345366,3.59999990463257,2.43403776168993,1.0,9.60000038146973,1.568609628235379,1.60000002384186,0.05723419436726118,1.5,1.64999997615814,0.9090909099940097,1.0,0.21846572220606394,0.400000005960464,1.0,6.326203166057295,6.599999904632571,1.1019788794890932,4.59999990463257,7.80000019073486,207.92691622103388,211.5,14.35554596288571,152.2941176470588,212.0,1.6530837492017934,1.4999999664723875,0.3568900187702242,1.1999999731779103,2.505882329800549
65.91705069124424,71.0,11.712994945933652,18.428571428571427,78.0,4.786926990420247,5.211111088593794,3.0547290351097387,1.5,15.0,79.98589169319295,80.0,14.116539294901314,29.519999694824243,91.6999969482422,0.8284097442109336,0.8666666857898242,0.30815117414116633,0.4333333447575569,1.6,6.300967616419639,5.5,1.1826656917478109,4.5,9.680000305175788,1.5756029059225327,1.5866666502422766,0.07529751646846877,1.31599996089935,1.6194444497426357,0.2709677421277569,0.0,0.4398435694234915,0.0,1.0,7.183610630008415,7.600000037087335,0.7966129135288958,5.19999980926514,7.733333322736952,105.32331635540464,91.5,47.51984823242101,65.78947368421052,211.0,1.8806287608749774,2.144444465637203,0.5196006441870396,1.087999975681304,3.7500001490116
36.51960193799576,38.0,12.39569293400924,10.11111111111111,60.0,20.223955663590022,19.182142972946135,6.87724629719709,6.40000009536743,41.7000007629395,17.324790746996992,13.0,14.468513358833043,1.3400000393390692,68.19999864366319,2.73732484188705,2.2777777777777777,1.4071944564437004,0.5,7.099999904632571,14.802907943269478,13.3000001907349,6.769202572843559,3.0,34.7000007629395,1.3781263114735933,1.39999997615814,0.07596776223450527,1.08000004291534,1.5063157834504797,0.3742222236759132,0.200000002980232,0.3905936819592779,0.0,1.0,6.380231955751961,6.400000095367429,0.7109032579241421,4.557142802647183,7.900000095367431,8.874472894429877,9.0,0.7738984012028274,5.25,17.569,3.8491217685745256,4.19999986886978,1.5372722050693681,1.050000004470348,6.90000012516975
62.053381435133396,61.0,25.80118770762975,13.0,130.0,35.890473321044084,34.0,6.918437854822823,27.399999618530305,58.5999984741211,11.372275267084316,8.39999961853027,8.397558074346849,0.800000011920929,40.95555623372396,3.1756546730824504,2.70000004768372,1.6382140851496265,0.25,7.0,27.8620893934368,27.5,5.827734203531967,15.1999998092651,44.043529802210195,1.3469951818438284,1.35000002384186,0.06819859655699999,1.20000004768372,1.5299999713897705,0.5608502229103873,1.0,0.47143423507565496,0.0,1.0,6.639448996302465,6.69999980926514,0.6084740827045915,5.59999990463257,7.90000009536743,2.1736255860389737,2.70000004768372,1.3076582477115253,0.209999993443489,6.299999992052714,3.3091835912054277,3.060000032186502,1.3589076611283908,0.2100000008940696,6.237000073492522
63.84007153868694,64.0,24.01426863677226,12.5,130.0,13.418724951819128,13.18947400544821,4.686033174942857,7.943333196640016,21.7000007629395,36.02888182252381,29.7999992370605,21.60670920911546,9.53333346048991,67.0,2.181961093414483,2.09999990463257,0.9547501882046875,1.0,4.833333460489906,8.265943496293575,7.599999904632569,4.051460258534018,1.60000002384186,17.0,1.3877509850193261,1.3833333386315243,0.07142016461067124,1.29999995231628,1.5,0.33981481677404135,0.200000002980232,0.3295252353323174,0.0,1.0,6.088876795492376,5.832142761775428,0.6204864683947088,5.344000015258789,7.95499980926514,29.40343811528048,28.0,8.466352962706663,20.61111111111111,58.588235294117645,3.199881165698267,2.849999964237209,1.3908656929437941,1.3699999784843817,5.319999933242792
